,ds,yhat,yhat_lower,yhat_upper
2946,2003-11-13,627.5110058023484,542.2294513984422,708.4708065225059
2947,2003-11-14,631.1703816482207,549.3103267644666,712.267460388233
2948,2003-11-15,606.4078295498107,523.0471207481654,692.5930215852678
2949,2003-11-16,564.0062252910734,488.75593850237726,650.2994524478446
2950,2003-11-17,592.5005823180629,503.7040294723087,672.0413024206138
2951,2003-11-18,640.1672651543746,558.2475224880297,721.9455917826092
2952,2003-11-19,640.2804290937394,561.0807157281532,723.4290178125593
2953,2003-11-20,638.6946719612434,554.7251522526818,720.0717152286153
2954,2003-11-21,642.021871486419,556.308727858807,722.298681349499
2955,2003-11-22,616.2772780550895,536.732178983623,699.4097427371137
2956,2003-11-23,572.300462156345,484.1371829705974,663.8359267199775
2957,2003-11-24,636.4229879582309,554.1657424729038,720.231838745233
2958,2003-11-25,643.8301931168509,547.258312927342,728.3664369384863
2959,2003-11-26,641.0653696183904,558.0792704546053,719.2554211748354
2960,2003-11-27,636.3592526843202,550.8115024173402,716.3582613450876
2961,2003-11-28,636.429029503597,551.2636575927755,717.7851853419508
2962,2003-11-29,607.3963310284732,523.9751549213216,692.1199584543748
2963,2003-11-30,560.2051252586049,479.3402891904489,644.6547344379372
2964,2003-12-01,621.286437290895,542.2478347791179,698.7369882058009
2965,2003-12-02,625.9173594439757,545.3432927972899,701.8935328192283
2966,2003-12-03,620.7227234543079,537.4108440424977,705.0116615661452
2967,2003-12-04,614.0024107979555,533.2489040678774,700.3336865844053
2968,2003-12-05,612.5285718369332,525.5289978886419,691.8984552470274
2969,2003-12-06,582.4622642456551,497.301254762127,665.3576307351128
2970,2003-12-07,534.7704633819662,452.5225677079221,615.6627089344281
2971,2003-12-08,558.1653572350489,474.639460174746,640.3301172157164
2972,2003-12-09,601.0886263409649,514.3717400213077,678.5213477624255
2973,2003-12-10,596.9633790195907,522.3613366357571,674.5118279634113
2974,2003-12-11,591.7728508640702,515.0999328601278,677.3297607736557
2975,2003-12-12,592.2339479864702,505.955255421248,677.0161062510841
2976,2003-12-13,564.4407896909701,481.07828625162,647.5201686846992
2977,2003-12-14,519.2839134416695,435.20378231816693,599.7087805430853
2978,2003-12-15,545.3920201232314,460.2145545292122,622.9345345524337
2979,2003-12-16,591.118885439272,507.621371942103,668.7806568937189
2980,2003-12-17,589.7980285794594,511.66345786529644,678.0196097563788
2981,2003-12-18,587.3241655242485,502.1878718275847,668.4232968413861
2982,2003-12-19,590.3294449873567,505.0158644449189,670.4735692689623
2983,2003-12-20,564.8295435989853,486.36030003723585,648.5111126118245
2984,2003-12-21,521.6452088633573,437.0599708134572,605.079271340499
2985,2003-12-22,587.0710934353483,502.6905918472256,671.6736117015435
2986,2003-12-23,596.2392168357014,514.1889393471691,679.5520281728764
2987,2003-12-24,595.6252907692045,513.9425473019669,679.0436309160997
2988,2003-12-25,555.6557106671173,473.67531392906494,639.289554373
2989,2003-12-26,596.1345743350005,510.9742497669597,677.8680126781642
2990,2003-12-27,569.9144077346205,489.49062923450776,649.9985847013508
2991,2003-12-28,525.5675763808349,445.31391442572703,603.5387521965674
2992,2003-12-29,589.4290544879019,505.94336022439677,673.1558770980774
2993,2003-12-30,596.6836110535793,512.2002006927936,684.4926628832004
2994,2003-12-31,593.8704597505093,512.7807219020812,679.9090567150798
